# Source: # IFC Stage sensor real time feed
# IFC code:	SHLRK05
# Latitude:	43.00537109375
# Longitude:	-92.9254989624023
# River:	Shell Rock River
# Road:	Foothill AVE
# Town:	Rockford
# From the sensor to the river bottom:	
# Unit:	ft
# Line end: CR+LF
# Field delimiter: tab
#
# -----------------------------------------------------------------------------
# Timestamp	Water_Depth
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
2020-12-30 10:00:00-06	2.75
2020-12-30 09:15:00-06	2.85
2020-12-30 08:00:00-06	2.84
2020-12-30 07:00:00-06	2.87
2020-12-30 06:00:00-06	2.88
2020-12-30 05:00:00-06	2.88
2020-12-30 04:00:00-06	2.87
2020-12-30 03:00:00-06	2.86
2020-12-30 02:00:00-06	2.87
2020-12-30 01:00:00-06	2.90
2020-12-30 00:00:00-06	2.89
2020-12-29 23:00:00-06	2.89
2020-12-29 22:00:00-06	2.86
2020-12-29 21:15:00-06	2.82
2021-01-01 20:00:00-06	2.67
2021-01-01 18:00:00-06	2.70
2021-01-01 17:00:00-06	2.70
2021-01-01 16:00:00-06	2.70
2021-01-01 15:00:00-06	2.69
2021-01-01 14:00:00-06	2.68
2021-01-01 13:00:00-06	2.67
2021-01-01 12:00:00-06	2.68
2021-01-01 11:00:00-06	2.70
2021-01-01 10:45:00-06	2.69
2021-01-01 09:15:00-06	2.71
2021-01-01 08:30:00-06	2.71
2021-01-01 06:00:00-06	2.72
2021-01-01 05:00:00-06	2.71
2021-01-01 04:00:00-06	2.71
2021-01-01 03:15:00-06	2.71
2021-01-01 02:00:00-06	2.72
2021-01-01 01:00:00-06	2.73
2021-01-01 00:45:00-06	2.73
2020-12-31 23:30:00-06	2.74
2020-12-31 22:00:00-06	2.72
2020-12-31 21:45:00-06	2.72
2020-12-31 20:00:00-06	2.71
2020-12-31 19:00:00-06	2.71
2020-12-31 18:00:00-06	2.71
2020-12-31 17:15:00-06	2.72
2020-12-31 16:00:00-06	2.71
2020-12-31 15:15:00-06	2.70
2020-12-31 14:00:00-06	2.70
2020-12-31 13:00:00-06	2.70
2020-12-31 12:00:00-06	2.71
2020-12-31 11:00:00-06	2.71
2020-12-31 10:00:00-06	2.72
2020-12-31 09:00:00-06	2.72
2020-12-31 08:00:00-06	2.74
2020-12-31 07:00:00-06	2.78
2020-12-31 06:00:00-06	2.78
2020-12-31 05:00:00-06	2.78
2020-12-31 04:00:00-06	2.78
2020-12-31 03:00:00-06	2.79
2020-12-31 02:00:00-06	2.79
2020-12-31 01:00:00-06	2.81
2020-12-31 00:30:00-06	2.82
2020-12-30 23:00:00-06	2.82
2020-12-30 22:00:00-06	2.82
2020-12-30 21:00:00-06	2.83
2020-12-30 20:00:00-06	2.85
2020-12-30 19:15:00-06	2.86
2020-12-30 18:00:00-06	2.87
2020-12-30 17:00:00-06	2.84
2020-12-30 16:00:00-06	2.81
2020-12-30 15:00:00-06	2.81
2020-12-30 14:00:00-06	2.80
2020-12-30 13:00:00-06	2.78
2020-12-30 12:00:00-06	2.74
2020-12-30 11:00:00-06	2.63
